steps,rewards
106,-92.82993809884914
218,-73.54362143419132
342,-175.16212726409083
424,-95.41443938133567
570,-642.5278848996293
667,-242.32773718066213
799,-289.1278435963691
930,-245.23619513667572
1080,-172.12755244756352
1287,-323.0215996739112
1388,-372.68162832031646
1502,-375.8861216669201
1598,-491.9612470734634
1674,-307.152369081948
1804,-279.39785435499687
1897,-432.5826517321539
2000,-120.3217575463721
2349,-516.6744480268708
2745,-129.6418466737422
2877,-409.928625358354
3006,-213.5488461836535
3106,-35.78793762786101
3515,-202.05975144981397
3732,-274.7154290909034
3955,-239.40423978206485
4262,-197.21412580957477
4760,-129.97912721232427
5760,-119.54313992213689
5891,-208.975959336924
6891,-115.94803631616593
7891,-85.87284300134887
8891,-139.25595184766954
9891,-79.12921464341458
